order_id,order_date,customer_id,order_status
1,2013-07-25 00:00:00.0,115,closed
2,2013-07-26 00:00:00.0,116,pending_payment
3,2013-07-27 00:00:00.0,117,complete
4,2013-07-28 00:00:00.0,11569,closed
5,2013-07-29 00:00:00.0,11549,complete
6,2013-07-29 00:00:00.0,12549,closed
7,2013-07-29 00:00:00.0,14549,pending_payment
8,2013-07-29 00:00:00.0,16549,closed
9,2013-07-29 00:00:00.0,16749,complete
10,2013-07-29 00:00:00.0,11149,pending_payment
11,2013-07-29 00:00:00.0,11849,complete
12,2013-07-29 00:00:00.0,1149,pending_payment
13,2013-07-29 00:00:00.0,31149,pending_payment
14,2013-07-29 00:00:00.0,51149,pending_payment
15,2013-07-29 00:00:00.0,01149,pending_payment
16,2013-07-29 00:00:00.0,91149,pending_payment
17,2013-07-27 00:00:00.0,199,pending_payment
18,2013-07-27 00:00:00.0,217,complete
19,2013-07-27 00:00:00.0,317,closed
20,2013-07-27 00:00:00.0,417,complete
21,2013-07-27 00:00:00.0,199,pending_payment
22,2013-07-27 00:00:00.0,217,complete
23,2013-07-27 00:00:00.0,317,complete
24,2013-07-27 00:00:00.0,417,pending_payment
